Kernel函数名称,kernel来源,函数名特征,kernel类型,核心程度级别,核心程度得分,判定依据,Kernel源码路径,Kernel行号
chunk_rwkv6_fwd_A_kernel_intra_sub_inter,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/rwkv6/chunk.py,126
chunk_rwkv6_fwd_A_kernel_intra_sub_intra,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/rwkv6/chunk.py,202
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_split,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/rwkv6/chunk.py,277
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_merge,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/rwkv6/chunk.py,358
chunk_rwkv6_bwd_kernel_dh,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/rwkv6/chunk.py,411
chunk_rwkv6_bwd_kernel_intra,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/rwkv6/chunk.py,492
chunk_rwkv6_bwd_kernel_inter,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/rwkv6/chunk.py,633
rwkv_seq_mix_kernel,核心算子,mixing操作,vv,核心,5,mixing操作,fla/ops/rwkv7/channel_mixing.py,38
rwkv_channel_mixing_pow_and_relu,核心算子,mixing操作,vv,核心,5,mixing操作,fla/ops/rwkv7/channel_mixing.py,83
relu_square_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/channel_mixing.py,173
rwkv_mix_bwd_kenel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/channel_mixing.py,205
fused_addcmul_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/rwkv7/fused_addcmul.py,53
addcmul_bwd_kernel1,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/fused_addcmul.py,113
k_update_fwd_kernel_short,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/rwkv7/fused_k_update.py,32
k_update_fwd_kernel_long,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/rwkv7/fused_k_update.py,75
k_update_bwd_kernel_short,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/fused_k_update.py,122
k_update_bwd_kernel_long,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/fused_k_update.py,174
fused_recurrent_rwkv7_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/rwkv7/fused_recurrent.py,35
gate_output_correction_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/rwkv7/gate_output_correction.py,73
gate_output_correction_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/rwkv7/gate_output_correction.py,125
parallel_simple_gla_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/simple_gla/parallel.py,47
parallel_simple_gla_bwd_kernel_dq,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/simple_gla/parallel.py,166
parallel_simple_gla_bwd_kernel_dkv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/simple_gla/parallel.py,258
parallel_simple_gla_bwd_kernel,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/simple_gla/parallel.py,382
chunk_ttt_linear_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/ttt/chunk.py,34
chunk_ttt_linear_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/ttt/chunk.py,139
chunk_ttt_linear_bwd_kernel_h,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/ttt/chunk.py,232
chunk_ttt_linear_bwd_kernel_dv_local,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/ttt/chunk.py,334
chunk_ttt_linear_bwd_kernel_norm,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/ttt/chunk.py,409
chunk_bwd_kernel_dqke,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/ttt/chunk.py,567
fused_chunk_ttt_linear_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),cv/cube,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/ttt/fused_chunk.py,35
fused_chunk_ttt_linear_bwd_kernel_h,核心算子,fused+bwd,cv/cube,重要,4,fused+bwd,fla/ops/ttt/fused_chunk.py,158
fused_chunk_ttt_linear_bwd_kernel_dh,核心算子,fused+bwd,cv/cube,重要,4,fused+bwd,fla/ops/ttt/fused_chunk.py,278
chunk_dplr_bwd_kernel_intra,核心算子,含bwd,vv,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,32
chunk_dplr_bwd_kernel_intra_tensorcore,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,237
chunk_dplr_bwd_dgk_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,407
chunk_dplr_fwd_A_kernel_intra_sub_intra,核心算子,fwd+intra/inter/preprocess(前向分步),vv,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,32
chunk_dplr_fwd_A_kernel_intra_tensorcore,核心算子,fwd+intra/inter/preprocess(前向分步),cv/cube,重要,4,fwd+intra/inter/preprocess(前向分步),fla/ops/generalized_delta_rule/dplr/chunk_A_fwd.py,159
chunk_dplr_bwd_kernel_dhu,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_h_bwd.py,34
chunk_dplr_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/chunk_h_fwd.py,34
chunk_dplr_bwd_kernel_dAu,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,34
chunk_dplr_bwd_o_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,107
chunk_dplr_bwd_kernel_dv,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,237
chunk_dplr_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/chunk_o_fwd.py,35
fused_recurrent_dplr_delta_rule_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/fused_recurrent.py,32
prepare_wy_repr_bwd_kernel,核心算子,含bwd,cv/cube,重要,4,含bwd,fla/ops/generalized_delta_rule/dplr/wy_fast_bwd.py,32
prepare_wy_repr_fwd_kernel_chunk32,核心算子,fwd(无intra/inter/preprocess),vv,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,29
prepare_wy_repr_fwd_kernel_chunk64,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,75
wu_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,155
chunk_generalized_iplr_delta_rule_fwd_kernel_h,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/chunk.py,42
chunk_generalized_iplr_delta_rule_fwd_kernel_o,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/chunk.py,127
fused_recurrent_fwd_kernel,核心算子,fused+fwd(无intra/inter/preprocess),vv,核心,5,fused+fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,30
fused_recurrent_bwd_kernel,核心算子,fused+bwd,vv,重要,4,fused+bwd,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,121
prepare_wy_repr_fwd_kernel_chunk32,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/wy_fast.py,29
prepare_wy_repr_fwd_kernel_chunk64,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/wy_fast.py,84
wu_fwd_kernel,核心算子,fwd(无intra/inter/preprocess),cv/cube,核心,5,fwd(无intra/inter/preprocess),fla/ops/generalized_delta_rule/iplr/wy_fast.py,165
chunk_local_cumsum_scalar_kernel,共享模块,cumsum操作,vv,辅助,3,cumsum操作,fla/ops/utils/cumsum.py,30
chunk_local_cumsum_vector_kernel,共享模块,cumsum操作,vv,辅助,3,cumsum操作,fla/ops/utils/cumsum.py,85
chunk_global_cumsum_scalar_kernel,共享模块,cumsum操作,vv,辅助,3,cumsum操作,fla/ops/utils/cumsum.py,143
chunk_global_cumsum_vector_kernel,共享模块,cumsum操作,vv,辅助,3,cumsum操作,fla/ops/utils/cumsum.py,203
prepare_position_ids_kernel,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/ops/utils/index.py,24
logcumsumexp_fwd_kernel,共享模块,激活函数,cv/cube,辅助,3,激活函数,fla/ops/utils/logcumsumexp.py,24
logsumexp_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/logsumexp.py,27
matmul_kernel,共享模块,共享模块默认辅助,cv/cube,辅助,3,共享模块默认辅助,fla/ops/utils/matmul.py,52
leaky_relu,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/matmul.py,157
sigmoid,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/matmul.py,162
tanh,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/matmul.py,168
relu,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/matmul.py,175
exp,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,17
exp2,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,19
log,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,21
log2,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,23
tanh,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,25
exp,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,17
exp2,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,19
log,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,21
log2,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,23
tanh,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/op.py,25
gather,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/op.py,41
make_tensor_descriptor,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/op.py,65
packunpack_sequence_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/pack.py,27
mean_pooling_fwd_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/pooling.py,28
mean_pooling_bwd_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/pooling.py,75
softmax_fwd_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/softmax.py,26
softmax_bwd_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/softmax.py,53
softplus_nv,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/softplus.py,68
softplus_triton,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/softplus.py,84
softplus2_nv,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/softplus.py,89
softplus2_triton,共享模块,激活函数,vv,辅助,3,激活函数,fla/ops/utils/softplus.py,105
solve_tril_16x16_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/ops/utils/solve_tril.py,36
merge_16x16_to_32x32_inverse_kernel,共享模块,共享模块默认辅助,cv/cube,辅助,3,共享模块默认辅助,fla/ops/utils/solve_tril.py,104
merge_16x16_to_64x64_inverse_kernel,共享模块,共享模块默认辅助,cv/cube,辅助,3,共享模块默认辅助,fla/ops/utils/solve_tril.py,193
sigmoid_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,85
sigmoid_bwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,115
logsigmoid_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,195
logsigmoid_bwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,230
swish_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,324
swish_bwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,355
swiglu_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,552
swiglu_fwdbwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/activations.py,589
causal_conv1d_fwd_kernel,共享模块,卷积组件,vv,辅助,3,卷积组件,fla/modules/conv/triton/kernels.py,35
causal_conv1d_bwd_kernel,共享模块,卷积组件,vv,辅助,3,卷积组件,fla/modules/conv/triton/kernels.py,152
causal_conv1d_update_kernel,共享模块,卷积组件,vv,辅助,3,卷积组件,fla/modules/conv/triton/kernels.py,325
compute_dh0_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/modules/conv/triton/kernels.py,410
causal_conv1d_states_fwd_kernel,共享模块,卷积组件,vv,辅助,3,卷积组件,fla/modules/conv/triton/kernels.py,487
layer_norm_fwd_kernel_quant,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_bitlinear.py,72
layer_norm_bwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_bitlinear.py,207
cross_entropy_fwd_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/fused_cross_entropy.py,30
cross_entropy_bwd_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/fused_cross_entropy.py,106
kl_div_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/fused_kl_div.py,25
elementwise_mul_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/modules/fused_kl_div.py,90
logsumexp_fwd_kernel,共享模块,激活函数,vv,辅助,3,激活函数,fla/modules/fused_linear_cross_entropy.py,42
cross_entropy_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/fused_linear_cross_entropy.py,94
elementwise_mul_kernel,共享模块,共享模块默认辅助,vv,辅助,3,共享模块默认辅助,fla/modules/fused_linear_cross_entropy.py,242
layer_norm_gated_fwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_norm_gate.py,34
layer_norm_gated_fwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_norm_gate.py,120
layer_norm_gated_bwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_norm_gate.py,201
layer_norm_gated_bwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/fused_norm_gate.py,329
grpo_fwd_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/grpo.py,79
grpo_bwd_kernel,共享模块,损失函数,vv,辅助,3,损失函数,fla/modules/grpo.py,155
l2norm_fwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/l2norm.py,24
l2norm_bwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/l2norm.py,52
l2norm_fwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/l2norm.py,81
l2norm_bwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/l2norm.py,111
layer_norm_fwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm.py,193
layer_norm_fwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm.py,267
layer_norm_bwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm.py,340
layer_norm_bwd_kernel1,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm.py,457
layer_norm_fwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm_gated.py,54
layer_norm_bwd_kernel,共享模块,归一化组件,vv,辅助,3,归一化组件,fla/modules/layernorm_gated.py,186
rotary_embedding_kernel,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/modules/rotary.py,46
token_shift_fwd_kernel_short,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/modules/token_shift.py,67
token_shift_fwd_kernel_long,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/modules/token_shift.py,159
token_shift_bwd_kernel_short,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/modules/token_shift.py,233
token_shift_bwd_kernel_long,共享模块,位置编码/辅助操作,vv,辅助,3,位置编码/辅助操作,fla/modules/token_shift.py,311
